Dataset,Model,Metric,Count,Mean,Std,Min,Q25,Median,Q75,Max
Dialogset,Mistral,EHI_EXP_before,200,0.34593534464500275,0.03910593777418898,0.2370633449034637,0.32096036091448954,0.3422279746335708,0.3666329210872545,0.5066505555895623
Dialogset,Mistral,EHI_EXP_after,200,0.545966834226395,0.035592921315519596,0.4438337655458302,0.5247588615728561,0.5461012822618705,0.5664339883406241,0.6146637351258333
Dialogset,Mistral,EHI_W_before,200,0.10410765135654433,0.17094149388236143,0.0,0.0,0.0,0.20054990331639874,0.9999999999999999
Dialogset,Mistral,EHI_W_after,200,0.28923480430265974,0.13486458057789977,0.2,0.2,0.2,0.4038872031430877,0.7090019227407798
Dialogset,Mistral,EHI_before,200,0.1440757404241595,0.1519253332555977,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656
Dialogset,Mistral,EHI_after,200,0.34119580547975287,0.13296517908107852,0.21764705882352942,0.2330428874328657,0.2649122807017544,0.3974615452206902,0.6062129127149161
Dialogset,DistilBART,EF_before,187,0.022865052916323354,0.039510172468640255,0.0,0.0,0.0,0.036375661375661374,0.25
Dialogset,DistilBART,EF_after,187,0.020124676156795546,0.032156900153750514,0.0,0.0,0.0,0.03333333333333333,0.125
Dialogset,DistilBART,PH_before,187,0.08009953866635248,0.11133788970894871,0.0,0.0,0.0,0.14074074074074072,0.5714285714285714
Dialogset,DistilBART,PH_after,187,0.0749483483771434,0.09816461668589695,0.0,0.0,0.0,0.13333333333333333,0.47619047619047616
Dialogset,DistilBART,OF_before,187,0.08147921102742255,0.11399612374637415,-1.3877787807814457e-17,0.0,0.02898550724637681,0.1333333333333333,0.5714285714285714
