Dataset,Model,Metric,Base_Metric,Category,Count,Mean,Std,CV,Skewness,Kurtosis,Min,Q25,Median,Q75,Max,IQR,Range
Dialogset,Mistral,NH_before,NH,Before,200,0.5207579365079366,0.26772345146199705,0.5141034494016143,-0.4866077561532411,-0.16510275152975984,0.0,0.33333333333333337,0.5555555555555556,0.6666666666666667,1.0,0.33333333333333337,1.0
Dialogset,Mistral,NH_after,NH,After,200,0.499670634920635,0.27453653458582455,0.5494349985754725,-0.3922869536601431,-0.4340338876816938,0.0,0.33333333333333337,0.5166666666666668,0.6666666666666667,1.0,0.33333333333333337,1.0
Dialogset,Mistral,LF_before,LF,Before,200,0.1490138888888889,0.20789855945317687,1.3951622966379658,2.0507365571542473,6.098978372474945,-2.7755575615628914e-17,0.0,0.06666666666666667,0.26666666666666666,1.3333333333333333,0.26666666666666666,1.3333333333333333
Dialogset,Mistral,LF_after,LF,After,200,0.1573670634920635,0.22571457773824258,1.4343190546325855,2.1690341711881658,6.573220519110905,0.0,0.0,0.08333333333333333,0.33333333333333326,1.3333333333333333,0.33333333333333326,1.3333333333333333
Dialogset,Mistral,EF1_before,EF1,Before,200,0.07481349206349205,0.12467214817386277,1.6664393645474684,2.021811398286171,4.84522545049189,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666,0.14166666666666666,0.6666666666666666
Dialogset,Mistral,EF1_after,EF1,After,200,0.062400793650793644,0.09833393913402301,1.575844366408509,1.6163890259668503,2.5498124463124894,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994,0.13333333333333333,0.49999999999999994
Dialogset,Mistral,EHI_CAL_before,EHI_CAL,Before,200,0.1440757404241595,0.1519253332555977,1.0544824049373545,1.5343905227626895,2.938357246086947,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656,0.18014540509056912,0.9148817284410503
Dialogset,Mistral,EHI_CAL_after,EHI_CAL,After,200,0.34119580547975287,0.13296517908107852,0.3897034399180763,0.9273823132675734,-0.5334481825418949,0.21764705882352942,0.2330428874328657,0.2649122807017544,0.3974615452206902,0.6062129127149161,0.16441865778782452,0.38856585389138665
Dialogset,Mistral,EHI_EXP_before,EHI_EXP,Before,200,0.34593534464500275,0.03910593777418898,0.11304406554444245,0.48899489046130074,1.2097224293393998,0.2370633449034637,0.32096036091448954,0.3422279746335708,0.3666329210872545,0.5066505555895623,0.04567256017276494,0.2695872106860986
Dialogset,Mistral,EHI_EXP_after,EHI_EXP,After,200,0.545966834226395,0.035592921315519596,0.06519246057492266,-0.17928359265087754,-0.2736803320856076,0.4438337655458302,0.5247588615728561,0.5461012822618705,0.5664339883406241,0.6146637351258333,0.04167512676776797,0.17082996958000307
Dialogset,Mistral,EHI_W_before,EHI_W,Before,200,0.10410765135654433,0.17094149388236143,1.6419685936139972,1.956465414060145,4.683959374426712,0.0,0.0,0.0,0.20054990331639874,0.9999999999999999,0.20054990331639874,0.9999999999999999
Dialogset,Mistral,EHI_W_after,EHI_W,After,200,0.28923480430265974,0.13486458057789977,0.46628060859776543,1.2373782481723614,0.3992805044375669,0.2,0.2,0.2,0.4038872031430877,0.7090019227407798,0.20388720314308767,0.5090019227407798
Dialogset,Mistral,EHI_before,EHI,Before,200,0.1440757404241595,0.1519253332555977,1.0544824049373545,1.5343905227626895,2.938357246086947,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656,0.18014540509056912,0.9148817284410503
Dialogset,Mistral,EHI_after,EHI,After,200,0.34119580547975287,0.13296517908107852,0.3897034399180763,0.9273823132675734,-0.5334481825418949,0.21764705882352942,0.2330428874328657,0.2649122807017544,0.3974615452206902,0.6062129127149161,0.16441865778782452,0.38856585389138665
Dialogset,DistilBART,EF_before,EF,Before,187,0.022865052916323354,0.039510172468640255,1.7279720546998583,2.3131704152754033,7.065990877202518,0.0,0.0,0.0,0.036375661375661374,0.25,0.036375661375661374,0.25
Dialogset,DistilBART,EF_after,EF,After,187,0.020124676156795546,0.032156900153750514,1.5978841052253165,1.5528809311894998,1.3925709457735933,0.0,0.0,0.0,0.03333333333333333,0.125,0.03333333333333333,0.125
Dialogset,DistilBART,PH_before,PH,Before,187,0.08009953866635248,0.11133788970894871,1.389994144319817,1.671552704919788,3.2767381772482405,0.0,0.0,0.0,0.14074074074074072,0.5714285714285714,0.14074074074074072,0.5714285714285714
Dialogset,DistilBART,PH_after,PH,After,187,0.0749483483771434,0.09816461668589695,1.3097635746678267,1.3105962075503166,1.3531433257118954,0.0,0.0,0.0,0.13333333333333333,0.47619047619047616,0.13333333333333333,0.47619047619047616
Dialogset,DistilBART,OF_before,OF,Before,187,0.08147921102742255,0.11399612374637415,1.399082321845357,1.9380580233561997,4.007495354999218,-1.3877787807814457e-17,0.0,0.02898550724637681,0.1333333333333333,0.5714285714285714,0.1333333333333333,0.5714285714285714
